"participant_id","group","word_1","response","knowledge","confidence","correct","response_type","valid_participant","valid_response"
"5a2461e...","spa-ENG","bici","busy",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","boca","table",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","esponja","spanish",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","moneda","monday",FALSE,0,FALSE,"false_friend",TRUE,TRUE
"5a2461e...","spa-ENG","brazo","lasso",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","cepillo","spy",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","cuchara","coach",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","dedo","dare",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","gallina","party",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","gorrion","boy",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","gorro","man",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","jirafa","raffle",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","ladrillo","drill",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","loro","lorry",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","mesa","mess",FALSE,0,FALSE,"false_friend",TRUE,TRUE
"5a2461e...","spa-ENG","nariz","mean",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","pierna","pier",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","platano","latino",FALSE,0,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","camisa","camisole",FALSE,1,FALSE,"false_friend",TRUE,TRUE
"5a2461e...","spa-ENG","moto","more",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","tobogan","trombone",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","arbol","harbor",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","avestruz","cruise",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","biberon","drink",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","boli","bowling",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","buho","bull",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","calcetin","cart",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","camiseta","cassette",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","caracol","charcoal",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","cubo","koala",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","gusano","sweet",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","lapiz","lapis lazuli",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","lengua","jaguar",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","martillo","martini",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","muneca","plant",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","ombligo","omlette",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","osito","small",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","oveja","egg",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","pajaro","parrot",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","panal","bread",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","pato","part",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","pelota","parrot",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","pez","fish",FALSE,1,TRUE,"correct",TRUE,TRUE
"5a2461e...","spa-ENG","puerta","island",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","ventana","lunch box",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","zanahoria","sunrise",FALSE,1,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","barco","bark",FALSE,2,FALSE,"false_friend",TRUE,TRUE
"5a2461e...","spa-ENG","bocadillo","book",FALSE,2,FALSE,"wrong",TRUE,TRUE
"5a2461e...","spa-ENG","botella","body",FALSE,2,FALSE,"wrong",TRUE,TRUE
